id,name,owner,capacity,fuel,year
102,Biomassekraftwerk Bischofferode,Stadtwerke Leipzig GmbH,18.1,Biomass,2006
103,Birkig Solar Power Plant,,1.2,Solar,
104,Bischwind Solar Power Plant,,1.7,Solar,
105,Bittenbrunn,Donau-Wasserkraft AG,20.2,Hydro,1969
106,Bitterfeld-Wolfen - GP Joule Solar Power Plant,,3.0,Solar,
107,Bitterfeld-Wolfen - Hinter dem Bahnhof Solar Power Plant,,6.0,Solar,
108,Bleiloch,Vattenfall Europe Generation AG,79.8,Hydro,1932
109,Blockheizkraftwerk 1,DS Smith Paper Deutschland GmbH,2.0,Biomass,
110,BoA 2,RWE Power AG,2100.0,Coal,2012
111,Bochum,RWE Generation SE,20.7,Gas,2004
112,Bogel Solar Power Plant,,1.7,Solar,
113,Bordelum Solar Power Plant,,3.2,Solar,
114,Borkum Riffgrund I,Borkum Riffgrund I Offshore Windpark A/S GmbH & Co. oHG,312.0,Wind,2015
115,Borna Solar Power Plant,,3.5,Solar,
116,Bosb�ll Solar Power Plant,,4.4,Solar,
117,Boxberg power station,Vattenfall Europe AG,2585.0,Coal,1989
118,Brandenburg (Havel) Solar Power Plant,,20.0,Solar,
119,Braschwitz Solar Power Plant,,8.0,Solar,
120,Braunau-Simbach,Innwerk AG,50.0,Hydro,1953
121,Braunkohlekraftwerk Lippendorf,EnBW Energie Baden-Württemberg AG,875.0,Coal,1999
122,Breitungen Solar Power Plant,,3.6,Solar,
123,Bremen-Farge power station,GDF SUEZ Energie Deutschland AG,350.0,Coal,1969
124,Brenz Solar Power Plant,,7.5,Solar,
125,Briest Solar Power Plant,,91.0,Solar,
126,Brimingen Solar Power Plant,,1.9,Solar,
127,Brohltal Solar Power Plant,,1.5,Solar,
128,Brunsbüttel,Vattenfall Europe Generation AG,254.0,Oil,1973
129,Buer power station,E.On Kraftwerke Gmbh,70.0,Coal,1985
130,Buschhaus power station,Helmstedter Revier GmbH,352.0,Coal,1985
131,Busenwurth Solar Power Plant,,12.2,Solar,
132,Butendiek,OWP Butendiek GmbH & Co. KG,288.0,Wind,2015
133,Bürgerwindpark im Kirchspiel Medelby,,82.23,Wind,2014
134,B�ttel Solar Power Plant,,31.5,Solar,
135,Calbe 2 Solar Power Plant,,4.3,Solar,
136,Calv�rde Solar Power Plant,,1.3,Solar,
137,Chamerau Solar Power Plant,,1.3,Solar,
138,Charlottenburg,Vattenfall Europe Wärme AG,633.0,Gas,1975
139,Chemiepark Marl power station,Infracor GmbH,136.0,Coal,1974
140,Chemnitz Nord power station,Eins Energie in Sachsen GmbH,56.8,Coal,1989
141,Cismar Solar Power Plant,,2.8,Solar,
142,Co-Generation,Grace GmbH & Co. KG,11.5,Gas,1991
143,Coal Plant #1,CropEnergies Bioethanol GmbH Zeitz,17.5,Coal,2005
144,Coal Plant #2,Koehler SE,18.5,Coal,1986
145,Coburg Solar Power Plant,,1.3,Solar,
146,Cologne-Merkenich power station,Stadtwerke Köln GmbH (100% City of Cologne),75.3,Coal,2010
147,Cottbus CHP power station,HKW Heizkraftwerksgesellschaft Cottbus mbH,74.0,Coal,1999
148,Cottbus Solar Power Plant,,3.7,Solar,
149,Cottbus-Drewitz Solar Power Plant,,29.5,Solar,
150,Cronheim Solar Power Plant,,2.2,Solar,
151,DK Kraftwerk,DK Recycling und Roheisen GmbH,21.0,Other,2010
152,DKW Leinau,Vereinigte Wertach-Elektrizitätswerke GmbH,11.4,Oil,
153,DKW Nord,Vereinigte Wertach-Elektrizitätswerke GmbH,11.4,Oil,1988
154,DT,Stadtwerke Düsseldorf AG,53.7,Waste,2000
155,Dampfkraftwerk BGH - O1,Wacker Chemie AG,178.0,Gas,2001
156,Dampfturbinenanlage der EBS-Kessel,Solvay Chemicals GmbH,35.0,Waste,2010
157,Darast Nord Solar Power Plant,,3.6,Solar,
158,Dedelow Solar Power Plant,,3.8,Solar,
159,Deesen Solar Power Plant,,4.1,Solar,
160,Deisenhofen Solar Power Plant,,1.9,Solar,
161,Delitzsch - Fabrikstra�e Solar Power Plant,,2.7,Solar,
162,Delitzsch - Ziehwerk Solar Power Plant,,1.8,Solar,
163,Delitzsch Solar Power Plant,,32.1,Solar,
164,Dessau,E.ON Kraftwerke GmbH,10.3,Hydro,1967
165,Dessau power station,Kraftwerk Dessau GmbH,49.0,Coal,1996
166,Dettingen,EnBW Energie Baden-Württemberg AG,11.0,Hydro,1927
167,Detzem,RWE Innogy GmbH,24.0,Hydro,1962
168,Deuben power station,Mitteldeut Braunkohl (Mibrag),86.0,Coal,1936
169,Dingolfing,E.ON Kraftwerke GmbH,15.0,Hydro,1957
170,Dinkelsb�hl Solar Power Plant,,2.0,Solar,
171,Dittwar Solar Power Plant,,1.8,Solar,
172,Dormagen,RWE Generation SE,586.3,Gas,2000
173,Dornau,E.ON Kraftwerke GmbH,16.6,Hydro,1960
174,Dortmund,RWE Generation SE,26.0,Gas,2004
175,Dow Stade,Dow Deutschland Anlagengesellschaft mbH,173.0,Gas,2014
176,Driedorf Solar Power Plant,,5.0,Solar,
177,Duisburg Hamborn,ThyssenKrupp Steel Europe AG,385.0,Gas,1958
178,Duisburg Ruhrort,ThyssenKrupp Steel Europe AG,315.0,Gas,
179,D�bern Solar Power Plant,,6.3,Solar,
180,D�llstadt Solar Power Plant,,6.1,Solar,
181,D�lzig Solar Power Plant,,3.9,Solar,
182,D�rrr�hrsdorf Solar Power Plant,,1.9,Solar,
183,EBKW Knapsack,EBS - Kraftwerks GmbH,33.4,Waste,2008
184,EBS-HKW Rostock,Vattenfall Europe New Energy Ecopower GmbH,17.0,Waste,2009
185,EBS-Heizkraftwerk,EnBW Propower GmbH,23.5,Other,2011
186,EEV,Shell Deutschland Oil GmbH,38.0,Oil,1993
187,EEW Energy from Waste Hannover GmbH,EEW Energy from Waste Hannover GmbH,22.5,Waste,2005
188,EEW Großräschen,EEW Energy from Waste Großräschen GmbH,23.3,Waste,2008
189,EEW Göppingen,EEW Energy from Waste Göppingen GmbH,11.0,Waste,2009
190,EMSLAND,,1406.0,Nuclear,1988
191,ENERTRAG Netz GmbH (UW Bertikow),ENERTRAG Aktiengesellschaft,20.0,Biomass,2003
192,EVC / GLOBALFOUNDRIES,Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG,34.3,Gas,1998
193,EVE,EEW Energy from Waste Premnitz GmbH,14.5,Waste,2009
194,EZ1,Südzucker AG Mannheim/Ochsenfurt  Werk Zeitz,18.5,Coal,1993
195,Ebern - TUP Solar Power Plant,,7.1,Solar,
196,Eckendorf Solar Power Plant,,1.6,Solar,
197,Ecklak Solar Power Plant,,3.8,Solar,
198,Eckolst�dt Solar Power Plant,,8.5,Solar,
199,Eggebek Solar Power Plant,,83.2,Solar,
200,Egger Kraftwerk Briilon 1,Egger Kraftwerk Brilon GmbH,18.0,Biomass,1990
201,Egger Kraftwerk Briilon 2,Egger Kraftwerk Brilon GmbH,13.5,Gas,1996
202,Egglfing,Innwerk AG,40.4,Hydro,1944
203,Eging am See Solar Power Plant,,2.2,Solar,
204,Egling Solar Power Plant,,6.2,Solar,
205,Eiche Solar Power Plant,,26.5,Solar,
206,Eisenach Solar Power Plant,,3.3,Solar,
207,Eitting,E.ON Kraftwerke GmbH,26.0,Hydro,1925
208,Ellgau,Rhein-Main-Donau AG,9.7,Hydro,1952
209,Ellh�ft Solar Power Plant,,2.0,Solar,
210,Ellighofen Solar Power Plant,,3.5,Solar,
211,Ellscheid Solar Power Plant,,5.0,Solar,
212,Elsterheide Solar Power Plant,,20.0,Solar,
213,Emden Biomasse,Statkraft Markets GmbH,20.0,Biomass,2005
214,Emden Natural Gas,Statkraft Markets GmbH,50.0,Gas,1973
215,Emlichheim Solar Power Plant,,5.0,Solar,
216,Emsland,RWE Generation SE,1837.0,Gas,
217,Energieanlage 3,Kronoply GmbH,18.6,Biomass,2002
218,Energiezentrale,RÃœTGERS InfraTec GmbH,11.1,Gas,1991
219,Energiezentrale 1992,Flughafen München GmbH,11.06,Gas,1992
220,Energiezentrum Mohn Media,Mohn Media Mohndruck GmbH,22.0,Gas,1994
221,Enertec Hameln,Enertec Hameln GmbH,31.5,Waste,2002
222,Enkirch,RWE Innogy GmbH,18.4,Hydro,1966
223,Ergoldsbach Solar Power Plant,,5.1,Solar,
224,Ering,Innwerk AG,36.5,Hydro,1942
225,Erlasee Solar Power Plant,,11.4,Solar,
226,Ernsthof Solar Power Plant,,34.4,Solar,
227,Erweiterung Energiezentrale 2003,Flughafen München GmbH,7.44,Gas,2003
228,Erzhausen,Statkraft Markets GmbH,220.0,Hydro,1964
229,Espenhain Solar Power Plant,,5.0,Solar,
230,Ettling,E.ON Kraftwerke GmbH,12.6,Hydro,1988
231,FHKW Ludwigshafen,Technische Werke Ludwigshafen AG,28.0,Waste,1967
232,FKK,Städtische Werke Energie + Wärme GmbH,33.5,Coal,1988
233,FS-Karton,FS-Karton GmbH,18.9,Gas,1992
234,Faimingen,Obere Donau Kraftwerke AG,10.1,Hydro,1965
235,Fankel,RWE Innogy GmbH,16.4,Hydro,1963
236,Fattendorf Solar Power Plant,,1.6,Solar,
237,Feldkirchen,VERBUND-Innkraftwerke GmbH,38.2,Hydro,1970
238,Finow Solar Power Plant,,84.9,Solar,
239,Flensburg power station,Stadtwerke Flensburg GmbH,195.0,Coal,1986
240,Forst Solar Power Plant,,3.6,Solar,
241,Fortuna Nord,RWE Power AG,15.0,Coal,1984
242,Franken 1,E.ON Kraftwerke GmbH,823.0,Gas,
243,Frauental Solar Power Plant,,3.3,Solar,
244,Freiberg Solar Power Plant,,3.0,Solar,
245,Freimersheim Solar Power Plant,,7.3,Solar,
246,Frimmersdorf power station,RWE Power AG,562.0,Coal,1962
247,Froschham Solar Power Plant,,4.2,Solar,
248,F�rstenwalde Solar Power Plant,,39.6,Solar,
249,G-Kraftwerk,Currenta GmbH & Co. OHG,103.0,Coal,1962
250,GHD,GHD Bayernwerk Natur GmbH & Co. KG,13.4,Gas,1998
251,GKH Hannover power station,Gemeinschaftskraftwerk Hannover GmbH (GKH),272.0,Coal,1989
252,GKL,Stadtwerke Hannover AG,230.0,Gas,
253,GKM (Mannheim) power station,Grosskraftwerk Mannheim,1958.0,Coal,1980
254,GKS,GKS Gemeinschaftskraftwerk Schweinfurt GmbH,24.4,Waste,1994
255,GMVA Niederrhein,GMVA Gemeinschafts-Müll-Verbrennungsanlage Niederrhein GmbH,61.5,Waste,
256,GTKW Darmstadt,HEAG Südhessische Energie AG (HSE),94.6,Gas,2013
257,GUD-Anlage DREWSEN,DREWSEN SPEZIALPAPIERE GmbH & Co.KG,13.0,Gas,2000
258,Gahro Solar Power Plant,,27.4,Solar,
259,Gardelegen - S&Z Solar Power Plant,,2.3,Solar,
260,Gars,VERBUND-Innkraftwerke GmbH,25.0,Hydro,1938
261,Geesthacht,Vattenfall Europe Generation AG,119.1,Hydro,1958
262,Geisling,Rhein-Main-Donau AG,25.0,Hydro,1985
263,Gelbelsee Solar Power Plant,,1.8,Solar,
264,Gelchsheim Solar Power Plant,,3.3,Solar,
265,Gelnhausen Solar Power Plant,,1.4,Solar,
266,Gemeinschaftskraftwerk Irsching,Gemeinschaftskraftwerk Irsching GmbH,1391.0,Gas,
267,Georgsdorf Solar Power Plant,,24.7,Solar,
268,Gergweis Solar Power Plant,,1.7,Solar,
269,Gersteinwerk,RWE Generation SE,2004.5,Gas,
270,Gerstungen Solar Power Plant,,3.8,Solar,
271,Gerwisch Solar Power Plant,,8.6,Solar,
272,Geusa Solar Power Plant,,5.9,Solar,
273,GichtNatural Gaskraftwerk Dillingen,Aktien-Gesellschaft der Dillinger Hüttenwerke  ROGESA Roheisengesellschaft Saar mbH und Zentralkokerei Saar GmbH  als Bruchteilsgemeinschaft,85.0,Other,2010
274,Giebelstadt Solar Power Plant,,28.0,Solar,
275,Glau Solar Power Plant,,8.0,Solar,
276,Glebitzsch Solar Power Plant,,3.9,Solar,
277,Glesien Solar Power Plant,,4.2,Solar,
278,Global Tech I,HEAG Südhessische Energie AG /   Stadtwerke München GmbH,400.0,Wind,2015
279,Gnannenweiler Solar Power Plant,,6.4,Solar,
280,Gnoien Solar Power Plant,,6.4,Solar,
281,Gode Wind 1 - Teil 1,,263.1,Wind,2015
282,Goldbach Solar Power Plant,,2.8,Solar,
283,Goldisthal,Vattenfall Europe Generation AG,1052.0,Hydro,
284,Gollhofen Solar Power Plant,,3.0,Solar,
285,Goodyear - Philippsburg Solar Power Plant,,7.4,Solar,
286,Gotha Solar Power Plant,,11.8,Solar,
287,Grabsleben Solar Power Plant,,2.2,Solar,
288,Greding Solar Power Plant,,4.5,Solar,
289,Gribow Solar Power Plant,,1.0,Solar,
290,Grohnde,E.ON Kernkraft GmbH,1360.0,Nuclear,1985
291,Gro� Stieten Solar Power Plant,,6.9,Solar,
292,Gro�engottern Solar Power Plant,,2.1,Solar,
293,Grubenheizkraftwerk,ROMONTA GmbH,49.0,Coal,1979
294,Gr�den Solar Power Plant,,3.4,Solar,
295,Gr�neberg Solar Power Plant,,7.5,Solar,
296,GuD,Stadtwerke Düsseldorf AG,100.0,Gas,2000
297,GuD Anlage WVK,Solvay Acetow GmbH,60.1,Gas,1998
298,GuD Baunatal  VW Werksgelände,Volkswagen AG,78.0,Gas,2013
299,GuD Bitterfeld,envia THERM GmbH,106.0,Gas,2000
300,GuD Kraftwerk Hillegossen,Stadtwerke Bielefeld GmbH,37.5,Gas,2005
301,GuD Leuna,InfraLeuna GmbH,52.0,Gas,1998
302,GuD Marienehe,Stadtwerke Rostock AG,108.0,Gas,1996
303,GuD Schwarzheide,BASF Schwarzheide GmbH,122.0,Gas,1994
304,GuD Tiefstack,Vattenfall Europe Wärme Aktiengesellschaft,127.0,Gas,2009
305,GuD-Anlage,DS Smith Paper Deutschland GmbH,47.0,Gas,2013
306,GuD-Anlage Rüsselsheim,Adam Opel AG,112.1,Gas,1999
307,GuD-HKW Neubrandenburg,Neubrandenburger Stadtwerke GmbH / VASA Kraftwerkepool GmbH und Co. KG,75.0,Gas,1997
308,GuD-Ikw Staßfurt,KWG-Kraftwerksgesellschaft Staßfurt mbH,132.0,Gas,1996
309,GuD-Kraftwerk,Energie- und Medienversorgung Sandhofer Straße GmbH & Co. KG,17.2,Gas,2005
310,Gummering,E.ON Kraftwerke GmbH,14.8,Hydro,1957
311,Gundelfingen - Gartner Solar Power Plant,,1.0,Solar,
312,Gundellfingen - Gehrlicher Solar Power Plant,,2.7,Solar,
313,G�rlitz Solar Power Plant,,6.0,Solar,
314,G�ttelborn Solar Power Plant,,8.4,Solar,
315,G�ttersdorf Solar Power Plant,,1.3,Solar,
316,HBB,HBB Heizkraftwerk Bauernfeind Betreibergesellschaft mbh,24.0,Gas,2001
317,HHKW Berlin-Neukölln,RWE Energiedienstleistungen GmbH,16.5,Biomass,2005
318,"HKW ""Helmshäger Berg""",Energieerzeugungsgesellschaft Greifswald GmbH,14.7,Gas,1996
319,HKW 1,Energieversorgung Oberhausen AG,23.1,Gas,1972
320,HKW 1 Werk Offstein,Südzucker AG Mannheim/Ochsenfurt,30.0,Gas,1992
321,HKW 2,Energieversorgung Oberhausen AG,24.5,Gas,1995
322,HKW Altenstadt,Heizkraftwerk Altenstadt GmbH & Co. KG,9.8,Biomass,1999
323,HKW Bad Salzungen,Thüringer Energie AG,9.7,Gas,1994
324,HKW Barmen,WSW Energie & Wasser AG,82.0,Gas,2005
325,HKW Bohrhügel,Stadtwerke Suhl/Zella-Mehlis GmbH,13.5,Gas,1995
326,HKW Brandenburg,Stadtwerke Brandenburg an der Havel GmbH,36.0,Gas,1997
327,HKW Chemnitz  Nord II (Natural Gas),eins energie in sachsen GmbH & Co. KG,57.2,Gas,1986
328,HKW Dresden-Nossener Brücke,DREWAG Stadtwerke Dresden GmbH,263.0,Gas,1995
329,HKW Eltmann,Palm Power GmbH & Co. KG,57.0,Gas,2008
330,HKW Erfurt-Ost,SWE Energie GmbH,109.1,Gas,
331,HKW Erlangen (Coal),Erlanger Stadtwerke AG,17.4,Coal,1980
332,HKW Erlangen (Natural Gas),Erlanger Stadtwerke AG,28.5,Gas,
333,HKW Fenne  GrubenNatural Gaskraftwerk,STEAG New Energies GmbH,42.0,Gas,2003
334,HKW Freiberg,Universitätsklinikum Freiburg AdöR,27.0,Gas,2001
335,HKW Göttingen,Georg-August-Universität Göttingen Stiftung Ã–ffentlichen Rechts,18.8,Gas,1998
336,HKW Halle Trotha,EVH GmbH,254.0,Gas,
337,HKW Hiltrop,Stadtwerke Bochum Holding GmbH,44.0,Gas,2014
338,HKW Humboldtstr.,Stadtwerke Kiel AG,31.0,Gas,
339,HKW I,Stadtwerke Duisburg AG,95.0,Coal,1985
340,HKW III/B,Stadtwerke Duisburg AG,274.0,Gas,2005
341,HKW Jena,Thüringer Energie AG,182.0,Gas,1996
342,HKW Karcherstr. (Coal),SWK - Stadtwerke Kaiserslautern,13.4,Coal,1996
343,HKW Karcherstr. (Natural Gas),SWK - Stadtwerke Kaiserslautern,11.6,Gas,1989
344,HKW Mannheim,MVV Energie AG,44.7,Waste,
345,HKW Merheim,RheinEnergie AG,15.8,Gas,2001
346,HKW Merkenich,RheinEnergie AG,15.5,Gas,1965
347,HKW Merkenich (Natural Gas),RheinEnergie AG,108.0,Gas,2004
348,HKW Niederrad,Mainova AG,126.0,Gas,2005
349,HKW Niehl 2,RheinEnergie AG,413.0,Gas,2005
350,HKW Nord,Volkswagen AG,61.5,Coal,2000
351,HKW Nord West,Volkswagen AG,200.0,Coal,
352,HKW Pfaffenwald,Universität Stuttgart,36.0,Gas,
353,HKW Potsdam-Süd,Energie und Wasser Potsdam GmbH,81.8,Gas,1996
354,HKW Sachtleben,Sachtleben Chemie GmbH,27.5,Coal,1962
355,HKW Sandreuth,N-ERGIE AG,18.0,Waste,1996
356,HKW Sandreuth,N-ERGIE AG,150.0,Gas,2005
357,HKW Schwarza,Energie- und Medienversorgung Schwarza GmbH,26.5,Gas,
358,HKW Schwerin Lankow,Energieversorgung Schwerin GmbH & Co. Erzeugung KG,23.0,Gas,1994
359,HKW Schwerin Süd,Energieversorgung Schwerin GmbH & Co. Erzeugung KG,44.9,Gas,1994
360,HKW Südstadt,RheinEnergie AG,35.0,Gas,1994
361,HKW West,Volkswagen AG,138.5,Coal,1985
362,HKW West,Mainova AG,123.0,Coal,1989
363,HKW West,Mainova AG,99.0,Gas,1994
364,HKW West ?,Mainova AG,19.7,Other,1954
365,HKW Wiesengrund,ENAG/MainNatural Gas Energieanlagen GmbH,22.1,Gas,1993
366,HKW Wörth,Palm Power GmbH & Co. KG,59.0,Gas,2008
367,HKW-Mitte,Braunschweiger Versorgungs-AG & Co. KG,137.3,Gas,
368,HKW-Nord,Braunschweiger Versorgungs-AG & Co. KG,25.0,Gas,1965
369,HKW-West,Stadtwerke Lemgo GmbH,12.8,Gas,2002
370,HKW3 UPM Schongau,UPM GmbH,65.0,Gas,2015
371,Haag Solar Power Plant,,5.5,Solar,
372,Hafen power station,swb Erzeugung GmbH & Co. KG,427.0,Coal,1973
373,Haidenaab Solar Power Plant,,3.2,Solar,
374,Halberstadt Solar Power Plant,,3.8,Solar,
375,Hamburg-Moorburg,Vattenfall Europe AG,1600.0,Coal,2015
376,Hamburger Rieger,Spreestromerzeugungs GmbH,18.7,Waste,2013
377,Harthausen Solar Power Plant,,4.5,Solar,
378,Hasselbach Solar Power Plant,,1.9,Solar,
379,Hastedt power station,swb Erzeugung GmbH & Co. KG,119.0,Coal,1989
380,Hattorf,K+S AG,52.3,Gas,
381,Ha�loch Solar Power Plant,,3.3,Solar,
382,Heckfeld Solar Power Plant,,1.9,Solar,
383,Heilbronn power station,Energie Baden-Württemberg,778.0,Coal,1977
384,Heimbach,RWE Innogy GmbH,16.0,Hydro,1905
385,Heinersdorf Solar Power Plant,,7.1,Solar,
386,Heizkraftwerk 1,ADM Hamburg Aktiengesellschaft,22.5,Gas,1992
387,Heizkraftwerk 2,Infraserv GmbH & Co. Höchst KG,152.0,Gas,
388,Heizkraftwerk 3,STEAG Power Saar GmbH,211.0,Coal,1989
389,Heizkraftwerk 4,Stadtwerke Augsburg Energie GmbH,18.0,Gas,1976
390,Heizkraftwerk 5,Merck KGaA,10.0,Gas,1999
391,Heizkraftwerk Altbach/Deizisau (Natural Gas),EnBW Energie Baden-Württemberg AG,65.0,Gas,
