id,name,owner,capacity,fuel
187,Beinneun Windfarm Extension,Octopus Investments/Blue Energy.,23.8,Wind
188,Bellhouse Pit Landfill Scheme,Ex Waste Ltd/Combined Landfill Projects Ltd (CLP),2.7,Waste
189,Bellhouse South,Cory Environmental,3.9,Waste
190,Ben Aketil,RDC Scotland Ltd (Renewable Development Co.),27.6,Wind
191,Ben Aketil Extension,Ben Aketil Wind Energy Ltd,2.6,Wind
192,Ben Glas,Gilkes Energy,1.3,Hydro
193,Benbole,Mr John Brown,1.73901,Solar
194,Bendealt Wind Farm  Highland,RWE npower,9.0,Wind
195,Bennett Bank Landfill Site (lfg),Waste Recycling Group,2.2,Waste
196,Bent Spur Solar Farm,Active Renewables,5.0,Solar
197,Bentham Farm,Hive Energy,8.0,Solar
198,Bentley Estate,Lightsource Renewable Energy,4.7819,Solar
199,Bentley Estate 2,Bentley Motor Cars Ltd,4.99608,Solar
200,Bentwaters CHP,REG Bio-Power,4.6,Biomass
201,Bentwaters Park,Agri-Gen,2.0,Biomass
202,Bentwaters Park (extension),Agri-Gen/Downing,1.8,Biomass
203,Berry Burn,Statkraft,66.7,Wind
204,Berthlwyd Farm,Greencoat Capital,5.0,Solar
205,Berwick solar farm,Susenco/Low Carbon,8.2,Solar
206,Bessy Bell 1,Colham Energy Ltd  plus Airtricty extrension,5.0,Wind
207,Bessy Bell 2,Bessy Bell Windfarm Omagh xx1 1xx,9.0,Wind
208,Betton Abbots,SITA UK / Natural Power,1.3,Waste
209,Betty Hill,North British Windpower Ltd,5.0,Wind
210,Bewick Drift,Harworth Power on behalf of Thomas Breheny,2.3,Wind
211,Bhlaraidh (previously Balmacaan),Scottish and Southern Energy (SSE),110.0,Wind
212,Bicker Fen,Wind Prospect,26.0,Wind
213,Bidston Moss Landfill Scheme,Bidston Methane Ltd,2.3,Waste
214,Bidwell Solar Farm - resubmission,Wessex Solar Energy,5.0,Solar
215,Biglis Farm,Conergy West Sussex,5.0,Solar
216,Bilbster,Donald Miller,3.9,Wind
217,Billinge Hill Quarry Landfill Scheme,Bidston Methane Ltd.,1.0,Waste
218,Bilsham Farm,NextEnergy Solar Fund,14.5,Solar
219,Bilsthorpe,Anesco,5.7408,Solar
220,Bilsthorpe (Land off Forest Lane),NESF (formerly Lark Energy),5.0,Solar
221,Bin Mountain Wind Farm,Greencoat UK Wind,9.0,Wind
222,Binn Landfill,SITA UK / Natural Power,1.9,Waste
223,Binsted,Lightsource,4.9979,Solar
224,Birch Airfield,Push Energy/ NESF,5.6,Solar
225,Birmingham Bio-Power Plant,Birmingham Bio-Power,10.3,Biomass
226,Bishop's Waltham Solar Farm,Solafields U/Bishop's Waltham Renewables Ltd,12.0,Solar
227,Bishops Sutton,Lightsource Renewable Energy,12.0,Solar
228,Bishopthorpe,Greencoat UK (formerly BayWa r.e.),16.4,Wind
229,Blaby Solar Farm,Blaby Solar Farm,3.5,Solar
230,Black Bush Farm,Lark Energy,2.7,Solar
231,Black Dog,FCC Environment,2.2,Waste
232,Black Hill,Renewable Energy Systems (RES),28.6,Wind
233,Black Law,Scottish Power Renewables,124.2,Wind
234,Black Law 2,Scottish Power Renewables,55.42,Wind
235,Black Law Extension - 1b,Scottish Power Renewables,15.0,Wind
236,Black Peak Farm,Lightsource Renewable Energy,31.8,Solar
237,Black Rock,RWE npower,3.5,Hydro
238,Blackawton Solar Farm,Maria Bailey Planning,3.0,Solar
239,Blackborough End Landfill Site,Combined Landfill Projects (CLP),1.5,Waste
240,Blackburn,Scottish Power: Thermal,59.0,Gas
241,Blackburn Meadows,E.On,33.0,Biomass
242,Blackstone Edge,Ventient (formerly Infinis),7.5,Wind
243,Blackwell Grange Solar Farm,Blackwell Grange Solar Farm Ltd (Conergy),5.0,Solar
244,Blaen Bowi Wind Farm,WINDJEN POWER LTD,3.9,Wind
245,Blaengwen (Re-Submission),Statkraft and Catamount Energy Corporation,23.0,Wind
246,Blakenhall Park Solar Farm,Mercer Farming,1.8,Solar
247,Blantyre Muir Wind Farm extension,West Coast Energy,7.5,Wind
248,Blatchworthy,Lightsource Renewable Energy,1.41246,Solar
249,Blenches Mill Solar Park,British Solar Renewables (formerly know as Solar Power Generation),6.0788,Solar
250,Bletchley Phase II,Waste Recycling Group,2.2,Waste
251,Bloodhills - repowering,The Farm Energy Partnership LLP,1.0,Wind
252,Blue Gates Farm,M H & P Leyland,1.5,Wind
253,Blue House,Anesco,4.98,Solar
254,Bluegates Solar Park,Edgar Middleton,10.5,Solar
255,Blyth Harbour Wind Farm (re-power),Hainsford Energy (Blyth Harbour) Limited,3.4,Wind
256,Blyth T2,Border Wind Farms Ltd,2.0,Wind
257,Boardinghouse Wind Farm,Ecogen,10.3,Wind
258,Bobbing solar farm,Solar Securities (Group),11.3,Solar
259,Boddington Reservoir,,1.5,Wind
260,Bodmin,Solar Securities Group,4.97684,Solar
261,Bodorgan Solar Farm,Anesco,12.6,Solar
262,Bodtegir,Clean Earth Energy,1.5,Wind
263,Bodwen Solar Park,Greencoat Capital,5.5,Solar
264,Bogenlea Farm,Eco2,2.3,Wind
265,Bolsovermoor Quarry,Lightsource Renewable Energy,4.9979,Solar
266,Bolton EfW,Viridor (GMWDA),8.0,Waste
267,Bolton Road Waste Treatment and Renewable Energy Facility (Waste AD),Shanks Group,4.0,Biomass
268,Bombardier Factory,Bombardier Aerospace,3.8,Solar
269,Bommertown Solar Farm,Steadfast Molland Solar Ltd,5.0,Solar
270,Bonerbo Wind Turbines (resubmission),Messrs Stevenson  Watson & Brunton,1.5,Wind
271,Bonnyrigg,Natural Power,2.2,Waste
272,Bootham Lane,Waste Recycling Group,1.2,Waste
273,Bootham Lane Landfill,Natural Power,2.7,Waste
274,Bootham Lane Phase 2,Waste Recycling Group,1.4,Waste
275,Boscombe Airfield,Lark Energy,12.3,Solar
276,Boston Landfill Scheme,Renewable Power Systems,1.3,Waste
277,Bottom Plain,Inazin Energy/Low Carbon,10.0,Solar
278,Boulfruich,Mr and Mrs Hall,13.0,Wind
279,Boundary Lane,EDF (purchased from Wind Prospect Developments Ltd in 2012),6.0,Wind
280,Bourne Farm,Farm Power Apollo,2.4,Solar
281,Bourne Park (Solar),Sovereign Energy Partners LLP - Charles Houston -,5.0,Solar
282,Bourne Park AD (AD),Eco Sustainable Solutions,1.1,Biomass
283,Bowbeat (Emly Bank),,15.6,Wind
284,Bowbeat (Roughside),,15.6,Wind
285,Bowden Lane Solar Park,British Solar Renewables / NextEnergy Solar Fund (NESF),4.9896,Solar
286,Bowerhouse Farm,KWTN Solar,8.3,Solar
287,Bowmore,Scottish and Southern: Island Generation,6.0,Oil
288,Boxted Airfield,NextEnergy Solar Fund,18.8,Solar
289,Boyndie,Boyndie Wind Farm,16.3,Wind
290,Boyndie Airfield,RDC Scotland Ltd/ Falck Renewables,16.7,Wind
291,Brackagh Quarry,Renewable Energy Generation (REG),4.98,Wind
292,Bradford Solar Park,Wessex Solar Energy,5.3,Solar
293,Bradgate Quarry Landfill Gas Scheme,Waste Recycling Group,2.5,Waste
294,Bradwell,Npower Renewables,20.5,Wind
295,Braes of Doune Wind Farm,Greencoat UK Wind,72.0,Wind
296,Braevallich,INNOGY plc,2.2,Hydro
297,Braich Ddu,REG Windpower (previously Cornwall Light and Power),3.9,Wind
298,Bransholme Solar CIC,Renesola (community owned),5.0,Solar
299,Branston solar park,Inazin Energy Limited/Low Carbon,18.9,Solar
300,Bratton Fleming Solar Farm,Wessex Solar Energy,5.0,Solar
301,Braydon Manor Farm,Public Power Solutions,8.7,Solar
302,Brazier Landfill Scheme,Pioneer Aggregates (UK) Ltd,3.9,Waste
303,Bredbury Park Way - AD Stockport (Waste AD),Greater Manchester Waste Ltd,2.0,Biomass
304,Brenkley Landfill,SITA UK / Natural Power,1.9,Waste
305,Bretby Power,Natural Power,1.6,Waste
306,Briar Solar Farm,NR16/ RenEnergy,1.9,Solar
307,Brickyard Barn (resubmission),Sun Glow Power,4.1,Solar
308,Brigg Renewable Energy Plant (Re-submission),Eco2,40.0,Biomass
309,Bristol STW (Waste AD),GENeco,10.0,Biomass
310,British Sugar - Bury,British Sugar,5.0,Biomass
311,Briton / Neath,Natural Power,2.2,Waste
312,Briton Ferry,Neath Port Talbot Waste Management Co Ltd,2.0,Waste
313,Broadgate Solar Farm,Lightsource Renewable Energy,1.1,Solar
314,Brockaghboy Wind Farm,TCI Renewables/ERG Renew,37.5,Wind
315,Brockaghboy Wind Farm - extension,TCI Renewables/ERG Renew,10.0,Wind
316,Brockholes Wind Cluster,Mr J Prentice  Brockholes Farm,2.4,Wind
317,Brocklesby - Crosslands Lane,BioConstruct,3.5,Biomass
318,Brogborough Phase III,Waste Recycling Group,11.0,Waste
319,Brogborough Phase IV,Waste Recycling Group,11.0,Waste
320,Bromborough Dock,Biffa,3.7,Waste
321,Bromborough Dock Landfill Scheme,Biffa,3.0,Waste
322,Bronwylfa Reservoir,Wrexham County Borough Council,3.0,Solar
323,Broockhurst Wood,Biffa,2.0,Waste
324,Brook Farm,Green Energy UK Direct Ltd,8.91036,Solar
325,Brook Hall Farm (resubmission),South West Solar Parks (Brook Hall Farm SPV),4.7,Solar
326,Brookbarn,Anesco,3.63,Solar
327,Brookfield Farm AD Plant (Farm AD),Mr. I. Critchley,1.3,Biomass
328,Brookhurst Wood (Waste AD),Biffa/West Sussex County Council,4.5,Biomass
329,Brookhurst Wood Gas to Energy,Biffa,5.1,Waste
330,Broomhill,,8.0,Wind
331,Brotherton (formerly Paul Matthew Hill wind turbines),Renewable Energy Ventures Ltd,4.6,Wind
332,Broxted Solar Park,Lark Energy,31.59,Solar
333,Bruar Hydro Scheme,Bruar Hydro Ltd/ Gilkes,1.9,Hydro
334,Bryn Du,Renewable Development Company Ltd,16.4,Wind
335,Bryn Pica AD / Tomorrow's Valley (Waste AD) - resubmission,Ancala Bioenergy (formerly Biogen),1.0,Biomass
336,Bryn Titli,Innogy,10.0,Wind
337,Bryn yr Odyn Solar Farm,New Forest Energy Ltd,15.0,Solar
338,Brynpica Landfill Site,NOVERA,2.7,Waste
339,Brynteg,Brynteg Solar,14.78664,Solar
340,Brynwhilach solar park,Good Energy Generation,5.0,Solar
341,Bu Farm,Longearth Ltd/ Farm Energy,2.7,Wind
342,Bulls Head North,Anesco,5.51304,Solar
343,Bumpers Farm Phase 1,Solar Planning,5.0,Solar
344,Bunn's Hill Solar Park,Solar Century/ Bluefield Solar,5.0,Solar
345,Burbo Bank,Orsted (formerly Dong Energy),90.0,Wind
346,Burbo Bank Extension (Burbo Bank 2),Orsted (formerly Dong Energy),258.0,Wind
347,Burgar Hill,Orkney Sustainable Energy Ltd,5.0,Wind
348,Burgar Hill (land Near)  Evie,,2.3,Wind
349,Burghfield,Scottish and Southern: Thermal,45.0,Oil
350,Burn of Whilk,RWE npower,22.5,Wind
351,Burnfoot Hill,EDF Energies Nouvelles,30.1,Wind
352,Burnfoot Hill Extension,FAO Miss Sarah Dooley,4.0,Wind
353,Burnhead Moss,Wind Prospect Developments/ EDF,26.0,Wind
354,Burnhills Landfill (L5),SITA UK,3.8,Waste
355,Burnhills Landfill Scheme (L4),SITA UK,1.5,Waste
356,Burnthouse Farm,Fivestone Ltd,6.21,Wind
357,Burntstalk Solar Park,Lightsource Renewable Energy,11.5,Solar
358,Burntstump Landfill Scheme,Waste Recycling Group,1.8,Waste
359,Burradale Hill,Shetland Aerogenerators,3.7,Wind
360,Burrowton Farm,British Solar Renewables,5.0,Solar
361,Burthy,Elgin Energy EsCo,13.08042,Solar
362,Burton Farm,Quercus Renewable Holding 2,4.4,Solar
363,Burton Pedwardine,Lark Energy,8.99162,Solar
364,Burton Pidsea (Wadworth Hill) Wind Farm,Aeolian Holderness Ltd,10.2,Wind
365,Burton Wold Wind Farm - Northern Extension (resubmission),John Laing Environmental,14.4,Wind
366,Burton Wold Wind Farm South,Infinergy/ Muirhall Energy,7.5,Wind
367,Burton Wold Windfarm,Gravis Capital Management,20.0,Wind
368,Bury Green Farm Solar,Bury Green Farm Solar (Caledon Partners),5.0,Solar
369,Bury Lane,Vortex (formerly Sun Edison),22.21587,Solar
370,Buslingthorpe Power Station (Leeds North),Living Power (REG Bio-Power),2.0,Biomass
371,Butchersfield Landfill Site,NORWEB Generation Limited,3.0,Waste
372,Buttermilk Farm,Hallwick Energy,1.1,Biomass
373,Butterwick Moor Circuit 1,,10.25,Wind
374,Butterwick Moor Circuit 2,,10.25,Wind
375,Bygrave Lodge Farm Anaerobic Digestion Facility (Farm AD),Ancala Bioenergy (formerly Biogen),2.3,Biomass
376,Bypass Nurseries Solar Farm,Sun Spirit,3.3,Solar
377,Bystock Solar Farm,Lightsource Renewable Energy,4.1,Solar
378,CRAYSMARSH SOLAR FARM,Mr Nick Boyle,1.8,Solar
379,CRINACOTT SOLAR FARM (Pyworthy),Sunsave 4 Ltd/ Vogt Solar,6.7,Solar
380,Caddington Solar Farm (Phase 1),Raybridge Corporation,3.0,Solar
381,Caddington Solar Farm (Phase 2),Emsrayne Limited,5.0,Solar
382,Cadland 2,Manor of Cadland,3.01602,Solar
383,Caeremlyn Solar Farm,Munich RE,18.0,Solar
384,Caergarw Farm,Suncredit UK (Sunventures 7),3.8,Solar
385,Cairnborrow - resubmission,Engie (GDF Suez),10.0,Wind
386,Cairnhill Farm solar park,Green Cat Renewables,2.4,Solar
387,Cairnmore Farm,,2.6,Wind
388,Cairnmore Solar Park,GPV Rhynie,3.8,Solar
389,Cairnmore Solar Park (extension),GPV Rhynie,1.2,Solar
390,Caldecote Manor Farm,Sustain Energy Solutions,5.0,Solar
391,Calder Water Community Wind Farm,Community Windpower (Community Wind Power),28.0,Wind
392,Caledonian Papermill,Caledonian Paper,26.0,Biomass
393,Callagheen,B9 / Renewable Energy Systems (RES),16.9,Wind
394,Calliachar,Scottish and Southern Energy (SSE),32.2,Wind
395,Callington Solar Farm,Inazin (Low Carbon Solar),6.4,Solar
396,Calvert Phase II,Waste Recycling Group,11.2,Waste
397,Camster,E.ON UK,50.0,Wind
398,Canada Farm,British Solar Renewables,8.3,Solar
399,Candles/Coalmoor Landfill,ONYX LANDFILL LTD,2.9,Waste
400,Cannington Cold Stores,Cannington Cold Stores Ltd / Cannington Bioenergy,3.3,Biomass
401,Canopus Farm,Countryside Renewables,5.0,Solar
402,Cantelupe Solar Farm,Innogy (previously - Belectric (previously Alectron Investments Ltd)),5.0,Solar
403,Canworthy Water,Equitix,41.0,Solar
404,Capel Grange Solar Park,West Coast Energy,6.6,Solar
405,Capel Landfill,Hanson Brick Ltd,1.0,Waste
406,Capeland Farm,juwi Renewable Energies,8.3,Solar
407,Carcant Wind Farm,Greencoat UK Wind,6.0,Wind
408,Cardiff Organic Waste Treatment Project (resubmission),Kelda Organic Energy,2.0,Biomass
409,Cardiff Waste Water Treatment,Dwr Cymru Welsh Water,5.5,Waste
410,Carines Farm Solar Array,Solar Securities Group Ltd,1.0,Solar
411,Carlam Hill Education CIC,Renesola to Greencoat (formerly Renesola),5.0,Solar
412,Carland Cross RP,Scottish Power Renewables,20.0,Wind
413,Carloggas Farm Solar Park,Good Energy Generation,8.3,Solar
414,Carlton Farm Solar farm,Mr R Atkins,5.0,Solar
415,Carn Hill,Gaelectric Developments/ CGN Europe Energy,13.8,Wind
416,Carn Vean,,10.0,Wind
417,Carnemough Farm Solar Park,Elgin Energy EsCo,7.0,Solar
418,Carno,RWE npower,33.6,Wind
419,Carno 'A' Wind Farm,RWE npower,16.8,Wind
420,Carno 'A'and 'B' Wind Farm  (Extension),RWE npower,15.6,Wind
421,Carnoch,Npower Renewables,1.35,Hydro
